"atc";"atc_name";"ddd_factor";"units";"adm_route";"note";"ddd_mg_factor"
"N02AA55";"oxycodone and naloxone";75.0000;"mg";"O";"The DDD refers to oxycodone";75
"N02AC04";"dextropropoxyphene";0.2000;"g";"O";"chloride";200
"N02AC04";"dextropropoxyphene";0.3000;"g";"O";"napsylate";300
"N02BA01";"acetylsalicylic acid";1.0000;"g";"P";"Refers to lysine acetylsalisylate";1000
"N02BB51";"phenazone, combinations excl. psycholeptics";3.0000;"g";"O";"Refers to phenazone";3000
"N02BB54";"propyphenazone, combinations excl. psycholeptics";3.0000;"g";"O";"Refers to propyphenazone";3000
"N02CA52";"ergotamine, combinations excl. psycholeptics";4.0000;"mg";"O";"Refers to ergotamine";4
"N02CA72";"ergotamine, combinations with psycholeptics";4.0000;"mg";"O";"Refers to ergotamine";4
"N04BA02";"levodopa and decarboxylase inhibitor";0.6000;"g";"O";"Refers to levodopa";600
"N04BA03";"levodopa, decarboxylase inhibitor and COMT inhibitor";0.4500;"g";"O";"Refers to levodopa";450
"N04BC05";"pramipexole";2.5000;"mg";"O";"hydrochloride";2.5
"N05AB02";"fluphenazine";1.0000;"mg";"P";"depot";1
"N05AB03";"perphenazine";7.0000;"mg";"P";"depot";7
"N05AC04";"pipotiazine";5.0000;"mg";"P";"depot";5
"N05AD01";"haloperidol";3.3000;"mg";"P";"depot";3.3
"N05AD06";"bromperidol";3.3000;"mg";"P";"depot";3.3
"N05AE05";"lurasidone";60.0000;"mg";"O";"as hydrochloride";60
"N05AF01";"flupentixol";4.0000;"mg";"P";"depot";4
"N05AF05";"zuclopenthixol";15.0000;"mg";"P";"depot";15
"N05AG01";"fluspirilene";0.7000;"mg";"P";"depot";0.7
"N05AH03";"olanzapine";10.0000;"mg";"P";"depot";10
"N05AX08";"risperidone";2.7000;"mg";"P";"depot";2.7
"N05AX12";"aripiprazole";13.3000;"mg";"P";"depot";13.3
"N05AX13";"paliperidone";2.5000;"mg";"P";"depot Expressed as paliperidone";2.5
"N06DA03";"rivastigmine";9.5000;"mg";"TD";"delivered dose";9.5
"N07BC51";"buprenorphine, combinations";8.0000;"mg";"SL";"Refers to buprenorphine";8
"N07CA52";"cinnarizine, combinations";90.0000;"mg";"O";"Refers to cinnarizine";90
"N07XX59";"dextromethorphan, combinations";40.0000;"mg";"O";"Expressed as dextromethorphan";40
"A01AA01";"sodium fluoride";1.1000;"mg";"O";"0.5 mg fluoride";1.1
"A04AD12";"aprepitant";95.0000;"mg";"P";"expressed as fosaprepitant";95
"A10AE56";"insulin degludec and liraglutide";40.0000;"U";"P";"Refers to insulin degludec";
"A10BB01";"glibenclamide";7.0000;"mg";"O";"microcryst.substance";7
"A10BJ01";"exenatide";0.2860;"mg";"P";"depot inj";0.286
"A11HA08";"tocofersolan";0.2000;"g";"O";"expressed as tocopherol";200
"A12AA20";"calcium (different salts in combination)";0.5000;"g";"O";"Ca2+";500
"A12CD01";"sodium fluoride";88.0000;"mg";"O";"40 mg fluoride";88
"A12CD02";"sodium monofluorophosphate";0.1520;"g";"O";"20 mg fluoride";152
"A12CE01";"sodium selenate";0.2000;"mg";"O";"Se";0.2
"A12CE02";"sodium selenite";0.2000;"mg";"O";"Se";0.2
"B01AB04";"dalteparin";2.5000;"TU";"P";"anti Xa";
"B01AB05";"enoxaparin";2.0000;"TU";"P";"anti Xa";
"B01AB06";"nadroparin";2.8500;"TU";"P";"anti Xa";
"B01AB07";"parnaparin";3.2000;"TU";"P";"anti Xa";
"B01AB08";"reviparin";1.4300;"TU";"P";"anti Xa";
"B01AB09";"danaparoid";1.5000;"TU";"P";"anti Xa";
"B01AB10";"tinzaparin";3.5000;"TU";"P";"anti Xa";
"B01AB11";"sulodexide";500.0000;"LSU";"O";"LSU = lipoprotein lipase releasing units";
"B01AB11";"sulodexide";500.0000;"LSU";"P";"LSU = lipoprotein lipase releasing units";
"B01AC06";"acetylsalicylic acid";1.0000;"tablet";"O";"Independent of strength";
"B03AA01";"ferrous glycine sulfate";0.2000;"g";"O";"Fe2+";200
"B03AA02";"ferrous fumarate";0.2000;"g";"O";"Fe2+";200
"B03AA03";"ferrous gluconate";0.2000;"g";"O";"Fe2+";200
"B03AA04";"ferrous carbonate";0.2000;"g";"O";"Fe2+";200
"B03AA05";"ferrous chloride";0.2000;"g";"O";"Fe2+";200
"B03AA06";"ferrous succinate";0.2000;"g";"O";"Fe2+";200
"B03AA07";"ferrous sulfate";0.2000;"g";"O";"Fe2+";200
"B03AA08";"ferrous tartrate";0.2000;"g";"O";"Fe2+";200
"B03AA09";"ferrous aspartate";0.2000;"g";"O";"Fe2+";200
"B03AA10";"ferrous ascorbate";0.2000;"g";"O";"Fe2+";200
"B03AA11";"ferrous iodine";0.2000;"g";"O";"Fe2+";200
"B03AB01";"ferric sodium citrate";0.7500;"g";"O";"Fe3+";750
"B03AB02";"saccharated iron oxide";0.1100;"g";"O";"Fe3+";110
"B03AB03";"sodium feredetate";0.1700;"g";"O";"Fe3+";170
"B03AB05";"ferric oxide polymaltose complexes";90.0000;"mg";"O";"Fe3+";90
"B03BB01";"folic acid";0.4000;"mg";"O";"prophylactic dose";0.4
"B03BB01";"folic acid";10.0000;"mg";"P";"therapeutic dose";10
"C01AA07";"deslanoside";1.0000;"mg";"P";"Acute treatment";1
"C03AB01";"bendroflumethiazide and potassium";2.5000;"mg";"O";"Refers to bendroflumethiazide";2.5
"C03AB02";"hydroflumethiazide and potassium";25.0000;"mg";"O";"Refers to hydroflumethiazide";25
"C03AB03";"hydrochlorothiazide and potassium";25.0000;"mg";"O";"Refers to hydrochlorothiazide";25
"C03AB04";"chlorothiazide and potassium";0.5000;"g";"O";"Refers to chlorothiazide";500
"C03AB05";"polythiazide and potassium";1.0000;"mg";"O";"Refers to polythiazide";1
"C03AB06";"trichlormethiazide and potassium";4.0000;"mg";"O";"Refers to trichlormethiazide";4
"C03AB07";"cyclopenthiazide and potassium";0.5000;"mg";"O";"Refers to cyclopenthiazide";0.5
"C03AB08";"methyclothiazide and potassium";5.0000;"mg";"O";"Refers to methyclothiazide";5
"C03AB09";"cyclothiazide and potassium";5.0000;"mg";"O";"Refers to cyclothiazide";5
"C03BB02";"quinethazone and potassium";50.0000;"mg";"O";"Refers to quinethazone";50
"C03BB03";"clopamide and potassium";10.0000;"mg";"O";"Refers to clopamide";10
"C03BB04";"chlortalidone and potassium";25.0000;"mg";"O";"Refers to chlortalidone";25
"C03BB05";"mefruside and potassium";25.0000;"mg";"O";"Refers to mefruside";25
"C03CB01";"furosemide and potassium";40.0000;"mg";"O";"Refers to furosemide";40
"C03CB02";"bumetanide and potassium";1.0000;"mg";"O";"Refers to bumetanide";1
"C10AB05";"fenofibrate";0.2000;"g";"O";"micronised";200
"C10AB11";"choline fenofibrate";0.1350;"g";"O";"Refers to fenofibric acid";135
"C10BX01";"simvastatin and acetylsalicylic acid";30.0000;"mg";"O";"Refers to simvastatin";30
"G01AF08";"tioconazole";0.3000;"g";"V";"Single dose treatment";300
"G02AD03";"gemeprost";1.0000;"mg";"V";"Single dose treatment";1
"G02AD04";"carboprost";2.5000;"mg";"P";"Single dose treatment";2.5
"G02AD06";"misoprostol";0.2000;"mg";"V";"vaginal insert, refers to the content of one vaginal insert";0.2
"G03BA03";"testosterone";50.0000;"mg";"TD";"gel";50
"G03CA03";"estradiol";1.0000;"mg";"P";"depot short duration";1
"G03CA03";"estradiol";0.3000;"mg";"P";"depot long duration";0.3
"G03CA03";"estradiol";50.0000;"mcg";"TD";"patch refer to amount delivered per 24 hours";0.05
"N02AB02";"pethidine";0.4000;"g";"P";"N/A";400
"G03CA03";"estradiol";1.0000;"mg";"TD";"gel";1
"G03CA03";"estradiol";7.5000;"mcg";"V";"vaginal ring refers to amount delivered per 24 hours";0.0075
"G03XB51";"mifepristone, combinations";0.2000;"g";"O";"Refers to mifepristone";200
"H01BA02";"desmopressin";0.2400;"mg";"SL";"base";0.24
"H02AB01";"betamethasone";0.4000;"mg";"P";"depot";0.4
"H02AB12";"rimexolone";20.0000;"mg";"P";"intraarticular";20
"J01CR01";"ampicillin and enzyme inhibitor";6.0000;"g";"P";"Refers to ampicillin";6000
"J01CR02";"amoxicillin and enzyme inhibitor";1.0000;"g";"O";"Refers to amoxicillin";1000
"J01CR02";"amoxicillin and enzyme inhibitor";3.0000;"g";"P";"Refers to amoxicillin";3000
"J01CR03";"ticarcillin and enzyme inhibitor";15.0000;"g";"P";"Refers to ticarcillin";15000
"J01CR05";"piperacillin and enzyme inhibitor";14.0000;"g";"P";"Refers to piperacillin";14000
"J01DD62";"cefoperazone, combinations";4.0000;"g";"P";"Refers to cefoperazone";4000
"J01DH51";"imipenem and enzyme inhibitor";2.0000;"g";"P";"Refers to imipenem";2000
"J01DH55";"panipenem and betamipron";2.0000;"g";"P";"Refers to panipenem";2000
"J01DI54";"ceftolozane and enzyme inhibitor";3.0000;"g";"P";"Refers to ceftolozane";3000
"J01CA07";"epicillin";2.0000;"g";"P";"N/A";2000
"J01FA01";"erythromycin";2.0000;"g";"O";"erythromycin ethylsuccinate tablets";2000
"J01XA04";"dalbavancin";1.5000;"g";"P";"course dose";1500
"J01XX05";"methenamine";2.0000;"g";"O";"hippurate";2000
"J01XX05";"methenamine";3.0000;"g";"O";"mandelate";3000
"J05AR10";"lopinavir and ritonavir";0.8000;"g";"O";"Refers to lopinavir";800
"L02AE02";"leuprorelin";0.1340;"mg";"P";"depot inj";0.134
"L02AE04";"triptorelin";0.1340;"mg";"P";"depot inj";0.134
"L04AA06";"mycophenolic acid";2.0000;"g";"O";"as mycophenolate mofetil";2000
"L04AA06";"mycophenolic acid";2.0000;"g";"P";"as mycophenolate mofetil";2000
"L04AC01";"daclizumab";0.3500;"g";"P";"course dose";350
"L04AC02";"basiliximab";40.0000;"mg";"P";"course dose";40
"M01AB51";"indometacin, combinations";0.1000;"g";"O";"Refers to indometacin";100
"M01AB51";"indometacin, combinations";0.1000;"g";"R";"Refers to indometacin";100
"M01AB55";"diclofenac, combinations";0.1000;"g";"O";"Refers to diclofenac";100
"M01AE52";"naproxen and esomeprazole";0.5000;"g";"O";"Refers to naproxen";500
"M01AX05";"glucosamine";1.5000;"g";"O";"Refers to glucosamine sulfate";1500
"M05BA01";"etidronic acid";1.5000;"g";"P";"course dose";1500
"M05BA02";"clodronic acid";1.5000;"g";"P";"course dose";1500
"M05BA03";"pamidronic acid";60.0000;"mg";"P";"course dose";60
"M05BA06";"ibandronic acid";6.0000;"mg";"P";"course dose";6
"M05BB01";"etidronic acid and calcium, sequential";0.4000;"g";"O";"Refers to etidronic acid";400
"M05BB03";"alendronic acid and colecalciferol";10.0000;"mg";"O";"Refers to alendronic acid";10
"M05BB04";"risedronic acid, calcium and colecalciferol, sequential";5.0000;"mg";"O";"Refers to risedronic acid";5
