drug1	drug2
Abacavir	 TIPRANAVIR 
Abacavir	 ORLISTAT 
Abatacept	 ADALIMUMAB 
Abatacept	 INFLIXIMAB 
Abatacept	 ETANERCEPT 
Abatacept	 VACCINES 
Abiraterone	 RIFAMPICIN 
Abiraterone	 FOSPHENYTOIN 
Abiraterone	 PRIMIDONE 
ACE Inhibitors	 ALISKIREN 
ACE Inhibitors	 ANGIOTENSIN-II RECEPTOR ANTAGONISTS 
Adalimumab	 ANAKINRA 
Adalimumab	 CLOZAPINE  
Adalimumab	 VACCINES 
Adenosine	 ANTI-ARRHYTHMICS 
Adenosine	 ANTIPSYCHOTICS  
Adenosine	 BETA-BLOCKERS 
Adenosine	 DIPYRIDAMOLE  
Adrenergic Neurone Blockers	 GENERAL ANAESTHETICS 
Adrenergic Neurone Blockers	 ADRENALINE (EPINEPHRINE) 
Adrenergic Neurone Blockers	 METHYLPHENIDATE 
Adrenergic Neurone Blockers	 OXYMETAZOLINE 
Adrenergic Neurone Blockers	 XYLOMETAZOLINE 
Afatinib	 CLOZAPINE  
Agomelatine	 CIPROFLOXACIN 
Agomelatine	 FLUVOXAMINE  
Agomelatine	 ARTENIMOL WITH PIPERAQUINE 
Albendazole	 PHENOBARBITAL 
Albendazole	 PRIMIDONE 
Albendazole	 RITONAVIR 
Alcohol	 CYCLOSERINE 
Alcohol	 COUMARINS  
Alcohol	 PHENINDIONE 
Alcohol	 TRICYCLICS 
Alemtuzumab	 CLOZAPINE  
Alemtuzumab	 VACCINES 
Aliskiren	 ACE INHIBITORS 
Aliskiren	 IRBESARTAN 
Aliskiren	 ITRACONAZOLE 
Aliskiren	 CICLOSPORIN 
Aliskiren	 GRAPEFRUIT JUICE 
Alpha-blockers	 GENERAL ANAESTHETICS 
Alpha-blockers	 MAOIS 
Alpha-blockers	 KETOCONAZOLE 
Alpha-blockers	 BOCEPREVIR 
Alpha-blockers	 TELAPREVIR 
Alpha-blockers	 AVANAFIL 
Alpha-blockers	 BETA-BLOCKERS 
Alpha-blockers	 VERAPAMIL 
Amantadine	 MEMANTINE 
Aminoglycosides	 CAPREOMYCIN  
Aminoglycosides	 CEPHALOSPORINS 
Aminoglycosides	 PHENINDIONE 
Aminoglycosides	 CICLOSPORIN 
Aminoglycosides	 PLATINUM COMPOUNDS 
Aminoglycosides	 LOOP DIURETICS 
Aminoglycosides	 NON- 
Aminoglycosides	 SUXAMETHONIUM 
Aminoglycosides	 PYRIDOSTIGMINE 
Aminoglycosides	 TACROLIMUS 
Aminophylline	 QUINOLONES 
Amiodarone	 DRONEDARONE 
Amiodarone	 FLECAINIDE 
Amiodarone	 LEVOFLOXACIN  
Amiodarone	 TELITHROMYCIN 
Amiodarone	 PHENINDIONE  
Amiodarone	 DABIGATRAN  
