"","category","drug_name"
"1","Antidepressants","DESVENLAFAXINE"
"2","Antidepressants","RASAGILINE"
"3","Antidepressants","SELEGILINE"
"4","Antidepressants","TRIMIPRAMINE"
"5","Hormones","LEVONORGESTREL"
"6","Antidepressants","DESIPRAMINE HYDROCHLORIDE"
"7","Antidepressants","DESVENLAFAXINE"
"8","Hormones","CONJUGATED ESTROGENS"
"9","Antidepressants","RASAGILINE"
"10","Antidepressants","SELEGILINE"
"11","Antidepressants","TRIMIPRAMINE"
"12","Hormones","ESTRADIOL"
"13","Hormones","LEVONORGESTREL"
"14","Hormones","ESTRONE"
"15","Corticosteroids","FLUDROCORTISONE ACETATE"
"16","Angiogenesis inhibitors","AXITINIB"
"17","Angiogenesis inhibitors","BEVACIZUMAB"
"18","Angiogenesis inhibitors","DASATINIB"
"19","Corticosteroids","BETAMETHASONE"
"20","Corticosteroids","CORTISONE"
"21","Corticosteroids","DEXAMETHASONE"
"22","Corticosteroids","HYDROCORTISONE"
"23","Corticosteroids","METHYLPREDNISOLONE"
"24","Corticosteroids","PREDNISOLONE"
"25","Corticosteroids","PREDNISONE"
"26","Erythropoiesis-stimulating agents","DARBEPOETIN ALFA"
"27","Erythropoiesis-stimulating agents","EPOETIN ALFA"
"28","Hormones","DANAZOL"
"29","Immunosuppressants","TACROLIMUS"
"30","NSAIDs","CELECOXIB"
"31","NSAIDs","DICLOFENAC"
"32","NSAIDs","IBUPROFEN"
"33","NSAIDs","INDOMETHACIN"
"34","NSAIDs","KETOPROFEN"
"35","NSAIDs","NAPROXEN"
"36","NSAIDs","MELOXICAM"
"37","NSAIDs","PIROXICAM"
"38","Stimulants","MODAFINIL"
"39","Sympathomimetics","PHENYLEPHRINE"
"40","Sympathomimetics","PSEUDOEPHEDRINE"
