"","category","drug_name"
"1","Angiogenesis inhibitors","CABOZANTINIB MALATE"
"2","Angiogenesis inhibitors","IMATINIB MESYLATE"
"3","Angiogenesis inhibitors","PAZOPANIB HYDROCHLORIDE"
"4","Angiogenesis inhibitors","PONATINIB HYDROCHLORIDE"
"5","Angiogenesis inhibitors","REGORAFENIB"
"6","Angiogenesis inhibitors","SORAFENIB TOSYLATE"
"7","Angiogenesis inhibitors","SUNITINIB MALATE"
"8","Antidepressants","AMITRIPTYLINE HYDROCHLORIDE"
"9","Antidepressants","CLOMIPRAMINE HYDROCHLORIDE"
"10","Antidepressants","DOXEPIN HYDROCHLORIDE"
"11","Antidepressants","DULOXETINE HYDROCHLORIDE"
"12","Antidepressants","IMIPRAMINE HYDROCHLORIDE"
"13","Antidepressants","ISOCARBOXAZID"
"14","Antidepressants","LEVOMILNACIPRAN HYDROCHLORIDE"
"15","Antidepressants","MAOIS (I.E., PHENELZINE SULFATE, RASAGILINE, SELEGILINE, TRANYLCYPROMINE SULFATE, ISOCARBOXAZID)"
"16","Antidepressants","MILNACIPRAN HYDROCHLORIDE"
"17","Antidepressants","NORTRIPTYLINE HYDROCHLORIDE"
"18","Antidepressants","PHENELZINE SULFATE"
"19","Antidepressants","SNRIS (I.E., DESVENLAFAXINE, DULOXETINE HYDROCHLORIDE, VENLAFAXINE HYDROCHLORIDE, LEVOMILNACIPRAN HYDROCHLORIDE, MILNACIPRAN HYDROCHLORIDE)"
"20","Antidepressants","TCAS (I.E., AMITRIPTYLINE HYDROCHLORIDE, IMIPRAMINE HYDROCHLORIDE, NORTRIPTYLINE HYDROCHLORIDE, TRIMIPRAMINE, CLOMIPRAMINE HYDROCHLORIDE, DOXEPIN HYDROCHLORIDE, DESIPRAMINE HYDROCHLORIDE)"
"21","Antidepressants","TRANYLCYPROMINE SULFATE"
"22","Antidepressants","VENLAFAXINE HYDROCHLORIDE"
"23","Hormones","BAZEDOXIFENE ACETATE/CONJUGATED ESTROGENS"
"24","Hormones","DESOGESTREL"
"25","Hormones","DROSPIRENONE"
"26","Hormones","ESTERIFIED ESTROGENS"
"27","Hormones","ESTROPIPATE"
"28","Hormones","ETHINYL ESTRADIOL"
"29","Hormones","ETHYNODIOL DIACETATE"
"30","Hormones","HORMONAL REPLACEMENT THERAPY (I.E., CONJUGATED ESTROGENS, CONJUGATED ESTROGENS/MEDROXYPROGESTERONE ACETATE, ESTERIFIED ESTROGENS, ESTRADIOL, ESTRONE)"
"31","Hormones","MEDROXYPROGESTERONE ACETATE"
"32","Hormones","MESTRANOL"
"33","Hormones","NORELGESTROMIN"
"34","Hormones","NORETHINDRONE"
"35","Hormones","NORETHYNODREL"
"36","Hormones","NORGESTIMATE"
"37","Hormones","NORGESTREL"
"38","Hormones","ORAL CONTRACEPTIVES (I.E., DESOGESTREL/ETHINYL ESTRADIOL, DROSPIRENONE/ESTRADIOL, LEVONORGESTREL/ETHINYL ESTRADIOL, ETHINYL ESTRADIOL/ETHYNODIOL DIACETATE, ETHINYL ESTRADIOL/NORELGESTROMIN, ETHINYL ESTRADIOL/NORETHINDRONE, ESTRADIOL/NORGESTIMATE, ETHINYL ESTRADIOL/NORGESTREL, ESTRADIOL/LEVONORGESTREL, ESTRADIOL/NORETHINDRONE, ESTRADIOL/NORGESTIMATE, MESTRANOL/NORETHINDRONE, MESTRANOL/NORETHYNODREL)"
"39","Immunosuppressants","CYCLOSPORINE"
"40","NSAIDs","ETODOLAC"
"41","NSAIDs","KETOROLAC"
"42","NSAIDs","NABUMETONE"
"43","Stimulants","AMPHETAMINE SULFATE AND SALT COMBINATIONS"
"44","Stimulants","ARMODAFINIL"
"45","Stimulants","DEXMETHYLPHENIDATE HYDROCHLORIDE"
"46","Stimulants","DEXTROAMPHETAMINE SULFATE"
"47","Stimulants","METHAMPHETAMINE HYDROCHLORIDE"
"48","Stimulants","METHYLPHENIDATE HYDROCHLORIDE"
"49","Sympathomimetics","PHENYLPROPANOLAMINE"
