"","pbs_code","drug_name","form_strength","atc_code","inuse","form_type","adm_route","final_unit","unit_wt_mg","unit_wt_g","unit_wt_ml","uadm_route"
"1","01076P","HEPARIN SODIUM","injection 35,000 units (as sodium) in 35 ml","B01AB01","Y","injection","P",NA,NA,NA,NA,"P"
"2","01103C","SALBUTAMOL","oral solution 2 mg (as sulfate) per 5 ml, 150 ml","R03CC02","Y","oral","O",2,2,NA,"per 5 ml, 150 ml","O"
"3","01121B","BENZYDAMINE","mouth and throat rinse containing benzydamine hydrochloride 22.5 mg per 15 ml, 500 ml","A01AD02","Y","mouth","O",22.5,22.5,NA,"per 15 ml, 500 ml","O"
"4","01131M","BACILLUS CALMETTE and GUERIN-TICE STRAIN","vial containing powder for intravesical administration approximately 5 x 10{sup}8{/sup} cfu","L03AX03","Y","intravesical","Intravesical",NA,NA,NA,NA,"Intravesical"
"5","01140B","BACILLUS CALMETTE and GUERIN-CONNAUGHT STRAIN","powder for intravesical administration containing 6.6 to 19.2 x 10{sup}8{/sup} cfu","L03AX03","Y","intravesical","Intravesical",NA,NA,NA,NA,"Intravesical"
"6","01190P","CISAPRIDE","oral suspension equivalent to 1 mg cisapride per ml, 200 ml","A03FA02","Y","oral","O",1,1,NA,"per ml, 200 ml","O"
"7","01201F","CHLORPROMAZINE","oral solution containing chlorpromazine hydrochloride 25 mg per 5 ml, 100 ml","N05AA01","Y","oral","O",25,25,NA,"per 5 ml, 100 ml","O"
"8","01205K","METOCLOPRAMIDE","oral solution 5 mg per 5 ml, 100 ml","A03FA01","Y","oral","O",5,5,NA,"per 5 ml, 100 ml","O"
"9","01229Q","DALTEPARIN SODIUM","injection containing dalteparin sodium 10,000 i.u. (anti-xa) in 1 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"10","01234Y","HEPARIN CALCIUM","injection 5,000 i.u. in 0.2 ml","B01AB01","Y","injection","P",NA,NA,NA,NA,"P"
"11","01243K","TERBUTALINE","nebuliser solution 10 mg per ml, 50 ml","R03AC03","Y","UNKNOWN","UNKNOWN",10,10,NA,"per ml, 50 ml","UNKNOWN"
"12","01296F","DALTEPARIN SODIUM","injection containing dalteparin sodium 12,500 i.u. (anti-xa) in 0.5 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"13","01414K","ETHOSUXIMIDE","oral solution 250 mg per 5 ml, 200 ml","N03AD01","Y","oral","O",250,250,NA,"per 5 ml, 200 ml","O"
"14","01425B","INSULIN ISOPHANE HUMAN + INSULIN NEUTRAL HUMAN","injection (human) 50 units-50 units per ml, 10 ml","A10AD01","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"15","01426C","INSULIN ISOPHANE HUMAN + INSULIN NEUTRAL HUMAN","injection (human) 30 units-70 units per ml, 10 ml","A10AD01","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
