"","pbs_code","bnf_drug_name","pbs_drug_name","atc_meaning","atc_code","match_type"
"1","01002R","ACICLOVIR","ACICLOVIR","ACICLOVIR","S01AD03","dm_I"
"2","01003T","ACICLOVIR","ACICLOVIR","ACICLOVIR","J05AB01","dm_I"
"3","01004W","ACETAZOLAMIDE","ACETAZOLAMIDE","ACETAZOLAMIDE","S01EC01","dm_I"
"4","01005X","ACETAZOLAMIDE","ACETAZOLAMIDE","ACETAZOLAMIDE","S01EC01","dm_I"
"5","01007B","ACICLOVIR","ACICLOVIR","ACICLOVIR","J05AB01","dm_I"
"6","01008C","ASPIRIN","ASPIRIN","ACETYLSALICYLIC ACID","B01AC06","dm_I"
"7","01010E","ASPIRIN","ASPIRIN","ACETYLSALICYLIC ACID","B01AC06","dm_I"
"8","01024X","OLANZAPINE","OLANZAPINE","OLANZAPINE","N05AH03","dm_I"
"9","01031G","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","L01AA01","dm_I"
"10","01037N","OLANZAPINE","OLANZAPINE","OLANZAPINE","N05AH03","dm_I"
"11","01041T","OLANZAPINE","OLANZAPINE","OLANZAPINE","N05AH03","dm_I"
"12","01042W","OLANZAPINE","OLANZAPINE","OLANZAPINE","N05AH03","dm_I"
"13","01052J","ACICLOVIR","ACICLOVIR","ACICLOVIR","J05AB01","dm_I"
"14","01060T","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"15","01068F","GENTAMICIN","GENTAMICIN","GENTAMICIN","J01GB03","dm_I"
"16","01079T","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","L01AA01","dm_I"
"17","01080W","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","L01AA01","dm_I"
"18","01088G","FLECAINIDE","FLECAINIDE","FLECAINIDE","C01BC04","dm_I"
"19","01090J","FLECAINIDE","FLECAINIDE","FLECAINIDE","C01BC04","dm_I"
"20","01128J","BUSULFAN","BUSULFAN","BUSULFAN","L01AB01","dm_I"
"21","01132N","NEVIRAPINE","NEVIRAPINE","NEVIRAPINE","J05AG01","dm_I"
"22","01143E","THEOPHYLLINE","THEOPHYLLINE","THEOPHYLLINE","R03DA04","dm_I"
"23","01156W","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"24","01157X","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"25","01158Y","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"26","01159B","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"27","01168L","GENTAMICIN","GENTAMICIN","GENTAMICIN","J01GB03","dm_I"
"28","01171P","CHLORAMPHENICOL","CHLORAMPHENICOL","CHLORAMPHENICOL","S01AA01","dm_I"
"29","01172Q","CHLORAMPHENICOL","CHLORAMPHENICOL","CHLORAMPHENICOL","S02AA01","dm_I"
"30","01173R","RILPIVIRINE","RILPIVIRINE","RILPIVIRINE","J05AG05","dm_I"
"31","01174T","CHLORAMPHENICOL","CHLORAMPHENICOL","CHLORAMPHENICOL","J01BA01","dm_I"
"32","01195X","CHLORPROMAZINE","CHLORPROMAZINE","CHLORPROMAZINE","N05AA01","dm_I"
"33","01196Y","CHLORPROMAZINE","CHLORPROMAZINE","CHLORPROMAZINE","N05AA01","dm_I"
"34","01197B","CHLORPROMAZINE","CHLORPROMAZINE","CHLORPROMAZINE","N05AA01","dm_I"
