"","drug_name"
"1","ST JOHNS WORT"
"2","ADEFOVIR"
"3","ADENOSINE"
"4","ADRENALINE (EPINEPHRINE)"
"5","AFATINIB"
"6","AGOMELATINE"
"7","ALCOHOL"
"8","ALDESLEUKIN"
"9","ALFENTANIL"
"10","ALISKIREN"
"11","AMIKACIN"
"12","ANAGRELIDE"
"13","ARTEMETHER WITH LUMEFANTRINE"
"14","ARTENIMOL WITH PIPERAQUINE"
"15","AVANAFIL"
"16","BEDAQUILINE"
"17","BENPERIDOL"
"18","BEXAROTENE"
"19","BEZAFIBRATE"
"20","BOSUTINIB"
"21","BUPIVACAINE"
"22","CABOZANTINIB"
"23","CALCIUM-CHANNEL"
"24","CANNABIS EXTRACT"
"25","CAPREOMYCIN"
"26","CASPOFUNGIN"
"27","CHLOROPROCAINE"
"28","CILOSTAZOL"
"29","CIPROFIBRATE"
"30","CLOFAZIMINE"
"31","CO- AMOXICLAV"
"32","CO- CARELDOPA"
"33","CO-BENELDOPA"
"34","CO-CARELDOPA"
"35","COBICISTAT"
"36","COLESEVELAM"
"37","COLISTIMETHATE SODIUM"
"38","CYCLOSERINE"
"39","DAPOXETINE"
"40","DAPTOMYCIN"
"41","DARIFENACIN"
"42","DELAMANID"
"43","DEXRAZOXANE"
"44","DEXTROMETHORPHAN"
"45","DOBUTAMINE"
"46","DOPAMINE"
"47","DOPEXAMINE"
"48","DOXAZOSIN"
"49","DRONEDARONE"
"50","DROPERIDOL"
"51","ELVITEGRAVIR"
"52","ENOXIMONE"
"53","ESLICARBAZEPINE"
"54","ESTRAMUSTINE"
"55","FAMPRIDINE"
"56","FESOTERODINE"
"57","FIDAXOMICIN"
"58","FOSAPREPITANT"
"59","FOSPHENYTOIN"
"60","FROVATRIPTAN"
"61","GRAPEFRUIT JUICE"
"62","GUANETHIDINE"
"63","IBRUTINIB"
"64","IDELALISIB"
"65","IMIPENEM WITH CILASTATIN"
"66","INDORAMIN"
"67","INSULIN"
"68","ISOFLURANE"
"69","ISOMETHEPTENE"
"70","ISRADIPINE"
"71","KETAMINE"
"72","KETOROLAC"
"73","LACIDIPINE"
"74","LEVAMISOLE"
"75","LEVOFLOXACIN"
"76","LINEZOLID"
"77","LOMITAPIDE"
"78","LOMUSTINE"
"79","LOPINAVIR"
"80","MEFLOQUINE"
"81","MELATONIN"
"82","METARAMINOL"
"83","METHYLTHIONINIUM"
"84","MICAFUNGIN"
"85","MILRINONE"
"86","MITOTANE"
"87","MIZOLASTINE"
"88","MMR VACCINE"
"89","NADOLOL"
"90","NATEGLINIDE"
"91","NEFOPAM"
"92","NICARDIPINE"
"93","NIMODIPINE"
"94","NINTEDANIB"
"95","NITROUS OXIDE"
"96","NON-"
"97","NORADRENALINE (NOREPINEPHRINE)"
"98","OPIOID ANALGESICS NANDROLONE"
"99","ORAL TYPHOID VACCINE"
"100","PARALDEHYDE"
"101","PARECOXIB"
"102","PEGINTERFERON ALFA"
"103","PENTAMIDINE ISETIONATE"
"104","PENTOSTATIN"
"105","PERPHENAZINE"
"106","PIMOZIDE"
"107","PIPERACILLIN"
"108","PIPOTIAZINE"
"109","PIVMECILLINAM"
"110","POLIOMYELITIS VACCINE"
"111","PRILOCAINE"
"112","PROCARBAZINE"
"113","PROGUANIL"
"114","PROPAFENONE"
"115","PROPOFOL"
"116","RANOLAZINE"
"117","REGORAFENIB"
"118","REPAGLINIDE"
"119","RETIGABINE"
"120","RIOCIGUAT"
"121","ROFLUMILAST"
"122","ROTAVIRUS VACCINE"
"123","RUFINAMIDE"
"124","SMALLPOX VACCINE"
"125","SODIUM"
"126","SODIUM CLODRONATE"
"127","SODIUM OXYBATE"
"128","SODIUM VALPROATE"
"129","SOLIFENACIN"
"130","ST JOHNS WORT"
"131","STIRIPENTOL"
"132","SULFADIAZINE"
"133","SULFAMETHOXAZOLE"
"134","SULPIRIDE"
"135","SUXAMETHONIUM"
"136","TEGAFUR"
"137","TELITHROMYCIN"
"138","TEMOPORFIN"
"139","THIOPENTAL"
"140","TOLAZOLINE"
"141","TOLCAPONE"
"142","TOLTERODINE"
"143","TRABECTEDIN"
"144","TRAZODONE"
"145","TRICYCLIC-"
"146","TRICYCLIC-RELATED"
"147","ULIPRISTAL"
"148","VANDETANIB"
"149","VARICELLA-ZOSTER VACCINE"
"150","VEMURAFENIB"
"151","VINDESINE"
"152","VINFLUNINE"
"153","VISMODEGIB"
"154","VITAMIN A"
"155","XYLOMETAZOLINE"
"156","YELLOW FEVER VACCINE"
"157","ZOLPIDEM"
