"","drug_name"
"1","ADEFOVIR"
"2","ADRENALINE (EPINEPHRINE)"
"3","ALCOHOL"
"4","ARTEMETHER WITH LUMEFANTRINE"
"5","ARTENIMOL WITH PIPERAQUINE"
"6","CALCIUM-CHANNEL"
"7","CANNABIS EXTRACT"
"8","CO- AMOXICLAV"
"9","CO- CARELDOPA"
"10","CO-BENELDOPA"
"11","CO-CARELDOPA"
"12","COLISTIMETHATE SODIUM"
"13","FOSAPREPITANT"
"14","GRAPEFRUIT JUICE"
"15","IMIPENEM WITH CILASTATIN"
"16","INSULIN"
"17","METHYLTHIONINIUM"
"18","MMR VACCINE"
"19","NON-"
"20","NORADRENALINE (NOREPINEPHRINE)"
"21","OPIOID ANALGESICS NANDROLONE"
"22","ORAL TYPHOID VACCINE"
"23","PEGINTERFERON ALFA"
"24","PENTAMIDINE ISETIONATE"
"25","POLIOMYELITIS VACCINE"
"26","ROTAVIRUS VACCINE"
"27","SMALLPOX VACCINE"
"28","SODIUM CLODRONATE"
"29","SODIUM OXYBATE"
"30","SODIUM VALPROATE"
"31","ST JOHNS WORT"
"32","TRICYCLIC-"
"33","TRICYCLIC-RELATED"
"34","VARICELLA-ZOSTER VACCINE"
"35","VITAMIN A"
"36","YELLOW FEVER VACCINE"
